income,spendPurchase
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 or less than",2
"RM50,000 - RM100,000",1
"RM25,000 or less than",3
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM25,000 or less than",1
"RM25,000 - RM50,000",2
"RM50,000 - RM100,000",1
"RM100,000 - RM150,000",2
"RM25,000 or less than",2
"RM25,000 - RM50,000",1
"RM25,000 or less than",1
"RM100,000 - RM150,000",2
"RM150,000 or above",2
"RM150,000 or above",1
"RM25,000 or less than",2
"RM150,000 or above",3
"RM50,000 - RM100,000",1
"RM25,000 - RM50,000",2
"RM50,000 - RM100,000",2
"RM25,000 - RM50,000",2
"RM25,000 - RM50,000",1
"RM25,000 - RM50,000",1
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",2
"RM50,000 - RM100,000",1
"RM25,000 or less than",2
"RM25,000 - RM50,000",2
"RM25,000 or less than",2
"RM50,000 - RM100,000",2
"RM25,000 or less than",0
"RM25,000 - RM50,000",1
"RM25,000 or less than",1
"RM100,000 - RM150,000",2
"RM25,000 or less than",1
"RM25,000 or less than",3
"RM25,000 or less than",2
"RM25,000 - RM50,000",2
"RM25,000 - RM50,000",1
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 or less than",3
"RM25,000 or less than",2
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 or less than",0
"RM25,000 or less than",1
"RM25,000 - RM50,000",2
"RM25,000 or less than",0
"RM25,000 - RM50,000",1
"RM25,000 or less than",1
"RM25,000 - RM50,000",2
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM25,000 - RM50,000",1
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM50,000 - RM100,000",1
"RM50,000 - RM100,000",1
"RM25,000 - RM50,000",2
"RM150,000 or above",2
"RM150,000 or above",3
"RM25,000 or less than",2
"RM25,000 - RM50,000",2
"RM25,000 - RM50,000",0
"RM50,000 - RM100,000",2
"RM25,000 - RM50,000",2
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM25,000 - RM50,000",1
"RM25,000 or less than",1
"RM25,000 or less than",2
"RM25,000 - RM50,000",2
"RM25,000 or less than",1
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM25,000 - RM50,000",3
"RM25,000 or less than",1
"RM50,000 - RM100,000",2
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 or less than",0
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM25,000 - RM50,000",1
"RM25,000 or less than",2
"RM25,000 or less than",1
"RM25,000 - RM50,000",2
"RM25,000 or less than",3
"RM25,000 or less than",1
"RM25,000 or less than",1
"RM50,000 - RM100,000",1